binomen,n_indiv,dbh_cm_sum,larva_mean_sum,r,p
Acer_pensylvanicum,1,8.50,0.50,2.86E-05,5.66E-04
Acer_rubrum,3,67.70,5.00,2.86E-04,4.51E-03
Acer_saccharum,158,2344.00,1342.00,7.68E-02,1.56E-01
Acer_spicatum,4,39.20,23.50,1.34E-03,2.61E-03
Amelanchier_sp,3,27.40,25.50,1.46E-03,1.82E-03
Betula_papyrifera,47,696.30,69.00,3.95E-03,4.64E-02
Betula_lutea,4,60.70,4.50,2.57E-04,4.04E-03
Carya_cordiformis,2,35.60,8.00,4.58E-04,2.37E-03
Fagus_grandifolia,77,1366.40,538.00,3.08E-02,9.10E-02
Fraxinus_americana,56,778.50,58.00,3.32E-03,5.18E-02
Juglans_cinerea,2,71.80,42.00,2.40E-03,4.78E-03
Ostrya_virginiana,181,1835.30,1937.00,1.11E-01,1.22E-01
Pinus_strobus,4,92.40,23.50,1.34E-03,6.15E-03
Populus_grandidentata,11,206.10,382.50,2.19E-02,1.37E-02
Prunus_pensylvanica,3,27.20,3.50,2.00E-04,1.81E-03
Prunus_serotina,2,29.00,0.50,2.86E-05,1.93E-03
Quercus_rubra,341,6963.80,12896.50,7.38E-01,4.64E-01
Ulmus_rubra,1,15.40,2.50,1.43E-04,1.02E-03
Tilia_americana,22,357.50,123.50,7.06E-03,2.38E-02
