binomen,E_i,E_prime_i,D_i,log_Q_i,L_i,W_i,E_star_i
Acer_pensylvanicum,-0.904,0.050,-0.904,-1.297,-0.001,0.006,-0.787
Acer_rubrum,-0.881,0.063,-0.881,-1.199,-0.004,0.008,-0.739
Acer_saccharum,-0.341,0.492,-0.380,-0.347,-0.079,0.061,0.075
Acer_spicatum,-0.320,0.515,-0.321,-0.289,-0.001,0.064,0.098
Amelanchier_sp,-0.111,0.800,-0.112,-0.097,0.000,0.099,0.308
Betula_papyrifera,-0.843,0.085,-0.849,-1.089,-0.042,0.011,-0.665
Betula_lutea,-0.880,0.064,-0.881,-1.198,-0.004,0.008,-0.738
Carya_cordiformis,-0.676,0.193,-0.677,-0.715,-0.002,0.024,-0.373
Fagus_grandifolia,-0.494,0.338,-0.518,-0.499,-0.060,0.042,-0.111
Fraxinus_americana,-0.880,0.064,-0.885,-1.215,-0.049,0.008,-0.737
Juglans_cinerea,-0.331,0.503,-0.332,-0.300,-0.002,0.063,0.086
Ostrya_virginiana,-0.049,0.907,-0.055,-0.048,-0.011,0.113,0.364
Pinus_strobus,-0.641,0.218,-0.643,-0.663,-0.005,0.027,-0.319
Populus_grandidentata,0.229,1.595,0.223,0.206,0.008,0.198,0.581
Prunus_pensylvanica,-0.801,0.111,-0.801,-0.957,-0.002,0.014,-0.586
Prunus_serotina,-0.971,0.015,-0.971,-1.830,-0.002,0.002,-0.932
Quercus_rubra,0.228,1.591,0.530,0.512,0.274,0.198,0.580
Ulmus_rubra,-0.755,0.140,-0.755,-0.856,-0.001,0.017,-0.504
Tilia_americana,-0.542,0.297,-0.548,-0.535,-0.017,0.037,-0.175
